sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,hemnet_url
2025-03-24,Myggdalsvägen 56,56,4.0,94.0,1850000,1850000,19681,7706,0.0,HusmanHagberg Tyresö/Älta,21432212,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-56-8083867103518240818
2025-03-04,Myggdalsvägen 96,96,2.0,45.0,1595000,1450000,35444,3721,0.1,More Fastighetsförmedling,21473324,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-tyreso-kommun-myggdalsvagen-96-6382479079419548519
2025-03-02,Myggdalsvägen 48,48,3.0,92.0,2300000,2450000,25000,7518,-0.06,Fastighetsbyrån Tyresö,21417496,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-48-3658238981354351316
2025-02-22,Myggdalsvägen 40,40,3.0,82.5,1850000,1795000,22424,6707,0.03,Fastighetsbyrån Tyresö,21388420,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-40-915977338876879071
2025-02-08,Myggdalsvägen 8,8,3.0,87.0,1880000,1695000,21609,6832,0.11,Fastighetsbyrån Tyresö,21474339,https://www.hemnet.se/salda/lagenhet-3rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-8-6091106575389755338
2025-01-30,Myggdalsvägen 6,6,2.0,49.5,2000000,1895000,40404,3966,0.06,HusmanHagberg Tyresö/Älta,21447535,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-6-6293347593503746797
2025-01-16,Myggdalsvägen 20,20,3.0,90.0,2050000,2050000,22778,7694,0.0,Svensk Fastighetsförmedling Tyresö,21421373,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-tyreso-kommun-myggdalsvagen-20-2198087128110083167
2024-12-21,Myggdalsvägen 46,46,3.0,92.0,2500000,2850000,27174,6835,-0.12,HusmanHagberg Tyresö/Älta,21407990,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-46-920173588769369785
2024-11-14,Myggdalsvägen 94,94,4.0,88.0,2350000,2995000,26705,7197,-0.22,LF Fastighetsförmedling Tyresö,21369719,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-94-6037720513537408865
2024-11-08,Myggdalsvägen 88,88,4.0,88.0,2350000,2295000,26705,6765,0.02,Svensk Fastighetsförmedling Tyresö,21416773,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-88-9007914787772971756
2024-10-09,Myggdalsvägen 38,38,4.0,94.5,2500000,2595000,26455,7026,-0.04,SkandiaMäklarna Tyresö/Älta,21381910,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-38-8843900761964679103
2024-09-12,Myggdalsvägen 96,96,4.0,90.0,2800000,2495000,31111,7158,0.12,Svenska Mäklarhuset Tyresö,21403126,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-96-828638055690331938
2024-08-08,Myggdalsvägen 102,102,2.0,74.0,1795000,1795000,24257,5348,0.0,HusmanHagberg Tyresö/Älta,21363916,https://www.hemnet.se/salda/lagenhet-2rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-102-6575227437797996872
2024-08-05,Myggdalsvägen 52,52,3.0,82.5,2120000,2095000,25697,5853,0.01,HusmanHagberg Tyresö/Älta,21345217,https://www.hemnet.se/salda/lagenhet-3rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-52-5427639804730685899
2024-07-25,Myggdalsvägen 88,88,4.0,88.5,2550000,2495000,28814,6928,0.02,Svensk Fastighetsförmedling Tyresö,20540695,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-tyreso-kommun-myggdalsvagen-88-351113701272574419
2024-07-17,Myggdalsvägen 52,52,4.0,94.5,2700000,2495000,28571,7189,0.08,HusmanHagberg Tyresö/Älta,21294390,https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-52-3446007834527203250
2024-07-17,Myggdalsvägen 64,64,4.0,92.0,2675000,2495000,29076,7080,0.07,Svensk Fastighetsförmedling Tyresö,21340491,https://www.hemnet.se/salda/lagenhet-4rum-centrala-tyreso-tyreso-kommun-myggdalsvagen-64-9209265258350417125
2024-05-17,"Myggdalsvägen 96, 3 tr",96,4.0,90.0,2295000,2295000,25500,7074,0.0,HusmanHagberg Tyresö/Älta,21324978,"https://www.hemnet.se/salda/lagenhet-4rum-tyreso-centrum-tyreso-kommun-myggdalsvagen-96,-3-tr-7481321585490780822"
2024-04-29,Myggdalsvägen 48,48,4.0,90.0,2595000,2595000,28833,6900,0.0,Svensk Fastighetsförmedling Tyresö,21308866,https://www.hemnet.se/salda/lagenhet-4rum-centrum-tyreso-kommun-myggdalsvagen-48-362160925981443119
