sold_date,address,street_number,rooms,living_area_m2,final_price_kr,asking_price_kr,kr_per_m2,monthly_fee_kr,price_change_pct,broker_agency,listing_id,booli_url,apartment_number
2013-11-11,Myggdalsvägen 94,94,4,92.0,1620000,,17609,,,HusmanHagberg,1535850,https://www.booli.se/bostad/677995,Lgh 1202
2013-10-24,Myggdalsvägen 26,26,4,88.5,1770000,,20000,,,Fastighetsbyrån,1525281,https://www.booli.se/annons/1525281,
2013-10-10,Myggdalsvägen 98,98,4,92.0,1290000,,14022,,,Mäklarhuset,1516273,https://www.booli.se/annons/1516273,
2013-10-10,Myggdalsvägen 18,18,2,45.0,1275000,,28333,,,HusmanHagberg,1516853,https://www.booli.se/annons/1516853,
2013-10-02,Myggdalsvägen 10,10,2,49.5,1200000,,24242,,,Fastighetsbyrån,1516876,https://www.booli.se/annons/1516876,
2013-09-11,Myggdalsvägen 82,82,4,95.0,1610000,,16947,,,Svensk Fastighetsförmedling,1488541,https://www.booli.se/annons/1488541,
2013-09-10,Myggdalsvägen 62,62,4,90.0,1675000,,18611,,,HusmanHagberg,1493938,https://www.booli.se/annons/1493938,
2013-08-15,Myggdalsvägen 76,76,3,85.5,1780000,,20819,,,HusmanHagberg,1472376,https://www.booli.se/annons/1472376,
2013-06-13,Myggdalsvägen 74,74,3,85.5,1300000,,15205,,,HusmanHagberg,1439537,https://www.booli.se/bostad/677682,Lgh 1002
2013-05-28,Myggdalsvägen 50,50,2,45.0,1160000,,25778,,,Mäklarhuset,1417179,https://www.booli.se/annons/1417179,
2013-05-10,Myggdalsvägen 68,68,2,56.0,1230000,,21964,,,Svensk Fastighetsförmedling,1410877,https://www.booli.se/annons/1410877,
2013-05-07,Myggdalsvägen 94,94,4,90.0,1200000,,13333,,,Fastighetsbyrån,1388619,https://www.booli.se/annons/1388619,
2013-05-02,Myggdalsvägen 86,86,4,88.5,1295000,,14633,,,Eget Hem,1391208,https://www.booli.se/annons/1391208,
2013-03-29,Myggdalsvägen 46,46,3,90.0,1320000,,14667,,,HusmanHagberg,1375851,https://www.booli.se/annons/1375851,
2013-03-25,Myggdalsvägen 10,10,2,74.0,1325000,,17905,,,Svensk Fastighetsförmedling,1373709,https://www.booli.se/bostad/677743,Lgh 1201
2013-03-20,Myggdalsvägen 64,64,4,92.0,1320000,,14348,,,HusmanHagberg,1368969,https://www.booli.se/bostad/678145,Lgh 1502
2013-02-16,Myggdalsvägen 12,12,4,90.0,1700000,,18889,,,Eget Hem,1355000,https://www.booli.se/annons/1355000,
2013-02-15,Myggdalsvägen 20,20,4,92.0,1950000,,21196,,,HusmanHagberg,1350868,https://www.booli.se/annons/1350868,
2013-01-27,Myggdalsvägen 108,108,2,74.0,1575000,,21284,,,Svensk Fastighetsförmedling,1336621,https://www.booli.se/annons/1336621,
2013-01-25,Myggdalsvägen 116,116,4,88.5,1420000,,16045,,,HusmanHagberg,1334289,https://www.booli.se/annons/1334289,
2012-12-14,Myggdalsvägen 104,104,2,49.5,1100000,,22222,,,Länsförsäkringar Fastighetsförmedling,1323386,https://www.booli.se/annons/1323386,
2012-12-10,Myggdalsvägen 98,98,2,45.0,1150000,,25556,,,Svensk Fastighetsförmedling,1320484,https://www.booli.se/annons/1320484,
2012-11-02,Myggdalsvägen 98,98,3,90.0,1310000,,14556,,,Länsförsäkringar Fastighetsförmedling,1282324,https://www.booli.se/annons/1282324,
